Number of Features,Ensemble.csv,correlation_ranking.csv,info_gain_ranking.csv,info_gain_ratio_ranking.csv,mrmr_ranking.csv,relief_ranking.csv,sym_uncertainty_ranking.csv
33,0.45,0.4416666666666666,0.425,0.5,0.5,0.5,0.4583333333333333
34,0.45,0.45,0.425,0.4583333333333333,0.4583333333333333,0.5083333333333334,0.4583333333333333
35,0.475,0.45,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5083333333333334,0.4583333333333333
36,0.475,0.4416666666666666,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.5,0.4583333333333333
37,0.4666666666666667,0.4333333333333334,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.5083333333333334,0.475
38,0.4666666666666667,0.4333333333333334,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.5083333333333334,0.4666666666666666
39,0.45833333333333337,0.4333333333333334,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5083333333333334,0.475
40,0.45833333333333337,0.425,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5083333333333334,0.4583333333333333
41,0.45833333333333337,0.45,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5083333333333334,0.475
42,0.45,0.45,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5083333333333334,0.475
43,0.4666666666666667,0.4333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5083333333333334,0.475
44,0.4833333333333333,0.425,0.4666666666666667,0.4666666666666667,0.4833333333333333,0.5083333333333334,0.475
45,0.4833333333333333,0.4333333333333333,0.4666666666666667,0.4666666666666667,0.475,0.5083333333333334,0.4666666666666666
46,0.4666666666666667,0.45,0.4666666666666667,0.4666666666666667,0.475,0.5083333333333334,0.4666666666666666
47,0.4666666666666666,0.4416666666666667,0.475,0.475,0.4833333333333334,0.5083333333333334,0.4666666666666666
48,0.4416666666666666,0.4416666666666667,0.475,0.475,0.4833333333333334,0.5,0.475
49,0.4416666666666666,0.45,0.475,0.475,0.4833333333333334,0.5,0.475
50,0.4416666666666666,0.45,0.475,0.475,0.475,0.5,0.475
51,0.4416666666666666,0.45,0.4666666666666667,0.4666666666666667,0.475,0.5,0.475
52,0.4416666666666666,0.45,0.45,0.45,0.4583333333333333,0.4833333333333333,0.4833333333333334
53,0.4416666666666666,0.45,0.4333333333333333,0.4333333333333333,0.475,0.5,0.4833333333333334
54,0.4416666666666666,0.45,0.45,0.45,0.4583333333333333,0.475,0.475
55,0.4416666666666666,0.4416666666666667,0.45,0.45,0.4666666666666666,0.4833333333333333,0.4833333333333334
56,0.4416666666666666,0.45,0.45,0.45,0.4666666666666667,0.4833333333333334,0.4833333333333334
57,0.475,0.45,0.45,0.45,0.475,0.4916666666666666,0.4833333333333334
58,0.475,0.45,0.45,0.45,0.4833333333333334,0.4833333333333334,0.4833333333333334
59,0.475,0.4416666666666667,0.4583333333333333,0.4583333333333333,0.475,0.4666666666666666,0.4916666666666667
60,0.475,0.4333333333333334,0.4583333333333333,0.4583333333333333,0.4833333333333334,0.4666666666666666,0.4916666666666667
61,0.475,0.4416666666666667,0.45833333333333337,0.45833333333333337,0.4833333333333334,0.4916666666666666,0.4583333333333333
62,0.475,0.4333333333333334,0.4416666666666666,0.4416666666666666,0.475,0.4916666666666666,0.4666666666666666
63,0.475,0.4416666666666667,0.4416666666666666,0.4416666666666666,0.475,0.4916666666666666,0.4666666666666666
64,0.475,0.4416666666666667,0.45,0.45,0.475,0.4833333333333333,0.4666666666666666
65,0.475,0.475,0.45,0.45,0.475,0.4833333333333333,0.475
66,0.475,0.4666666666666667,0.45,0.45,0.4833333333333333,0.4583333333333333,0.475
67,0.475,0.4666666666666667,0.4583333333333333,0.4583333333333333,0.475,0.475,0.475
68,0.4666666666666666,0.475,0.4583333333333333,0.4583333333333333,0.475,0.4833333333333333,0.475
69,0.475,0.475,0.4583333333333333,0.4583333333333333,0.4666666666666667,0.4916666666666667,0.4666666666666666
70,0.5,0.475,0.4583333333333333,0.4583333333333333,0.4833333333333333,0.4833333333333333,0.475
